Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,qual_periods
Jose Berrios,TOR,3.8999999999999995,1.34,-2.4000000000000004,-0.54,6.300000000000001,2.7,3.6000000000000014,0.07,0.5800000000000001,0.153,-7.6000000000000085,42,-27,-6,1.67,-1.0499999999999998,2.7199999999999998,-0.23999999999999977,-0.3799999999999999,2
Jose Quintana,PIT,0.8300000000000001,0.06000000000000005,0.25,-2.29,2.099999999999998,0.20000000000000018,2,-0.04199999999999998,-0.16999999999999993,0.008999999999999952,-2.700000000000003,-60,-84,-5,-2.43,-3.4699999999999998,1.04,-0.20000000000000018,-0.20999999999999996,2
Jose Urquidy,HOU,-1.04,0.2400000000000002,-0.5399999999999998,-0.9100000000000001,0.20000000000000284,2.1999999999999993,-2,-0.141,-0.62,-0.16499999999999998,13.899999999999991,-60,-27,9,-2.27,-1.0099999999999998,-1.25,0.34999999999999964,0.3799999999999999,2
Josh Winckowski,BOS,2.12,2.6500000000000004,-1.37,1.59,4.400000000000002,6.4,-2.000000000000001,-0.020000000000000018,0.22999999999999998,-0.043999999999999984,-14.299999999999997,79,71,20,3.17,2.7,0.47000000000000003,0.7600000000000002,0.7999999999999998,2
Josiah Gray,WSN,3.460000000000001,0.7400000000000002,0.20000000000000018,2.74,6,1.2000000000000002,4.800000000000001,0.12599999999999997,0.67,0.146,-22.299999999999997,143,78,-9,6.02,3.27,2.75,-0.3799999999999999,-0.43000000000000016,2
JT Brubaker,PIT,1.9900000000000002,1.9100000000000001,-0.96,-0.37,6.5,5.4,1.1000000000000014,-0.049000000000000016,-0.06999999999999984,-0.020999999999999963,-7.900000000000006,14,-17,-1,0.54,-0.71,1.25,-0.04999999999999982,0.14000000000000012,2
Julio Urias,LAD,-1.0599999999999987,-0.6700000000000004,0.8600000000000003,0.19000000000000017,-6.700000000000003,-2.7,-4,0.135,0.51,0.18300000000000002,-30.200000000000003,113,23,6,4.54,0.9700000000000002,3.57,0.23999999999999977,0.16000000000000014,2
Justin Steele,CHC,3.7,1.8900000000000001,-0.25,-1.09,9.9,5.000000000000001,4.800000000000001,-0.036000000000000004,-0.010000000000000009,0.02899999999999997,0.4000000000000057,-18,-35,-1,-0.73,-1.4300000000000002,0.7000000000000001,-0.020000000000000018,-0.07000000000000028,2
Justin Verlander,HOU,0.6099999999999994,0.47,-1.08,-0.73,3.799999999999997,1.7999999999999998,2.099999999999998,-0.04600000000000001,-0.19000000000000006,-0.027000000000000024,25.4,-41,-31,-14,-1.5499999999999998,-1.15,-0.3900000000000001,-0.56,-0.36999999999999966,2
Keegan Thompson,CHC,-0.9199999999999999,-0.47999999999999954,0.06999999999999984,-2.3,-2.3999999999999986,-1.3000000000000007,-1.1999999999999993,0.06299999999999997,0.22999999999999998,0.137,7.200000000000003,-46,-82,-17,-1.8900000000000006,-3.3600000000000003,1.47,-0.71,-0.08999999999999986,2
Kevin Gausman,TOR,2.9000000000000004,-0.5,1.3699999999999997,0.6,11.5,0.1999999999999993,11.400000000000002,-0.09099999999999997,-0.6699999999999999,-0.068,41.199999999999996,-107,1,-38,-4.3,0.06000000000000005,-4.36,-1.4500000000000002,-1.2599999999999998,2
Konnor Pilkington,CLE,1.58,-0.4500000000000002,0.5,1.13,2.4000000000000004,-2.200000000000001,4.6,0.046999999999999986,0.30000000000000004,0.044999999999999984,12.5,0,28,-28,0,1.0499999999999998,-1.05,-1.0899999999999999,-0.9900000000000002,2
Kris Bubic,KCR,-3.26,2.75,-1.86,0.7600000000000001,-10.2,5.5,-15.600000000000001,0.035999999999999976,0.5,-0.018000000000000016,5,4,72,47,0.13999999999999968,2.7299999999999995,-2.59,1.8000000000000003,1.7800000000000002,2
Kyle Freeland,COL,2.9499999999999997,2.33,-0.8899999999999999,1.5999999999999999,6.6,5.6000000000000005,1,0.04099999999999998,0.5,0.03699999999999998,-12.700000000000003,80,42,-31,3.7600000000000002,1.8200000000000003,1.94,-1.2899999999999991,-0.6799999999999997,2
Kyle Gibson,PHI,-0.5300000000000002,1.3900000000000001,-1.5999999999999999,1.1099999999999999,-3.599999999999998,2.6000000000000005,-6.3,-0.026000000000000023,0.09000000000000008,-0.06999999999999998,-5.5,64,72,55,2.6800000000000006,3.0700000000000003,-0.39,2.2800000000000002,1.08,2
Kyle Wright,ATL,-3.84,1.1,-4.359999999999999,0.73,-9.8,3.1000000000000005,-13,-0.087,-0.2599999999999998,-0.17600000000000002,26.700000000000003,-67,53,36,-2.8099999999999996,2.16,-4.970000000000001,1.48,1.4900000000000002,2
Lance Lynn,CHW,-2.3600000000000003,1.9100000000000001,-3.67,-1.0899999999999999,-6.400000000000002,4.4,-10.7,-0.008000000000000007,0.16000000000000014,-0.013999999999999957,-0.10000000000000142,43,-10,48,1.6099999999999994,-0.3900000000000001,2,1.8700000000000006,1.4600000000000004,2
Logan Gilbert,SEA,-2.6599999999999993,-0.19999999999999973,-0.9199999999999999,0.9400000000000002,-9.099999999999998,-1.2999999999999998,-7.899999999999999,0.035999999999999976,0.29000000000000004,-0.01200000000000001,-5.8999999999999915,44,50,27,1.63,1.87,-0.25,1.0399999999999996,0.8800000000000003,2
Logan Webb,SFG,-2.0199999999999996,-0.30000000000000004,-0.41999999999999993,0.10000000000000003,-6.300000000000001,-1,-5.200000000000001,0.01100000000000001,0.040000000000000036,-0.01200000000000001,-8.200000000000003,19,14,17,0.75,0.5299999999999998,0.21999999999999997,0.7400000000000002,0.56,2
Lucas Giolito,CHW,2.0699999999999994,-1.6999999999999997,2.4400000000000004,-2.64,10.100000000000001,-2.6000000000000005,12.8,-0.13899999999999998,-0.95,-0.08699999999999997,11.899999999999999,-160,-126,-46,-6.12,-4.98,-1.1400000000000001,-1.7899999999999996,-1.6100000000000003,2
Luis Castillo,CIN,3.2300000000000004,-0.7000000000000002,1.5699999999999998,-0.41,11.5,-0.7999999999999989,12.299999999999999,-0.04400000000000001,-0.31000000000000005,-0.006000000000000005,29.700000000000003,-71,-42,-42,-3.0700000000000003,-1.79,-1.28,-1.7599999999999998,-1.3600000000000003,2
Luis Garcia,HOU,-2.1400000000000006,1.3,-3.67,-0.8200000000000001,-4.199999999999996,3.8999999999999995,-8.100000000000001,-0.07400000000000001,-0.21999999999999997,-0.11300000000000002,12.5,-61,-7,25,-2.3000000000000003,-0.27999999999999936,-2.02,0.98,0.8399999999999999,2
Luis Severino,NYY,-8.620000000000001,-1.1400000000000001,-1.71,-0.19000000000000017,-21.8,-2.5999999999999996,-19.299999999999997,-0.019000000000000017,-0.21999999999999997,-0.119,4,-23,32,53,-0.8999999999999999,1.2700000000000005,-2.17,2.03,2,2
Madison Bumgarner,ARI,-0.3200000000000003,0.9300000000000002,-1.0300000000000002,-0.8200000000000001,1.3000000000000007,2.999999999999999,-1.700000000000001,-0.12499999999999997,-0.6100000000000001,-0.13299999999999995,9.700000000000003,-42,-19,3,-1.77,-0.7599999999999998,-1.02,0.08000000000000007,0.29000000000000004,2
Marco Gonzales,SEA,0.009999999999999787,-1.9500000000000002,0.68,-0.64,-1.0999999999999996,-6.000000000000001,5,0.129,0.41000000000000014,0.16299999999999998,-14,41,-32,1,1.5099999999999998,-1.2000000000000002,2.72,0.05999999999999961,-0.5300000000000002,2
Martin Perez,TEX,0.8800000000000008,0.79,-0.4700000000000002,1.15,3.5,2.3999999999999995,1,-0.062,-0.28,-0.09600000000000003,-7.1000000000000085,51,45,6,1.9400000000000004,1.73,0.21000000000000002,0.2200000000000002,-0.0699999999999994,2
Max Fried,ATL,-4.51,1.58,-5.58,-0.36,-13.399999999999999,4.1,-17.5,-0.036000000000000004,0.030000000000000027,-0.09699999999999998,10.300000000000011,-31,29,52,-1.3399999999999999,1.1800000000000002,-2.5300000000000002,2.1700000000000004,2.0100000000000002,2
Merrill Kelly,ARI,-2.17,0.5,-1.5,-0.27999999999999997,-5.5,1.6000000000000005,-7.199999999999999,-0.059,-0.19000000000000006,-0.08500000000000002,2.0999999999999943,-33,6,30,-1.3900000000000001,0.2400000000000002,-1.63,1.2500000000000004,1.1000000000000005,2
Michael Kopech,CHW,1.6700000000000008,2.22,-0.6600000000000001,2.5,1.0999999999999979,4.200000000000001,-3,0.10200000000000004,0.74,0.07900000000000001,7.099999999999994,75,97,18,2.89,3.8200000000000003,-0.92,0.71,0.47000000000000064,2
Mike Minor,CIN,2.3099999999999996,-1.3900000000000006,1.7,-1.81,6.800000000000001,-3,9.799999999999999,-0.03500000000000003,-0.33000000000000007,0.02699999999999997,-14.100000000000001,-74,-81,-30,-3.1999999999999997,-3.5000000000000004,0.29000000000000004,-1.2599999999999998,-1.1999999999999997,2
Miles Mikolas,STL,-3.5600000000000005,0.20999999999999996,-3.42,1.31,-12.3,0.2999999999999998,-12.500000000000002,0.121,0.52,0.08700000000000002,4.3999999999999915,34,63,17,1.34,2.54,-1.2000000000000002,0.6800000000000002,1.3200000000000003,2
Mitch Keller,PIT,1.2200000000000006,-0.16999999999999993,0.6300000000000003,1.06,2,-0.7999999999999998,2.9000000000000004,0.12699999999999997,0.55,0.15200000000000002,3.0999999999999943,61,31,-6,2.47,1.2400000000000002,1.23,-0.25,-0.10999999999999988,2
Neil Pallante,STL,0.9399999999999995,-2.1599999999999997,3.9299999999999997,0.25,1.4000000000000004,-6.1000000000000005,7.4,0.10400000000000004,0.3500000000000001,0.129,-22.299999999999997,84,-18,-25,3.3500000000000005,-0.7100000000000009,4.07,-1.0299999999999998,-1.1799999999999997,2
Nestor Cortes,NYY,2.290000000000001,0.15000000000000013,0.8700000000000001,-1.55,6.400000000000002,0.5,5.900000000000002,-0.04600000000000004,-0.2100000000000002,0.0050000000000000044,0,-54,-65,-52,-2.05,-2.5599999999999996,0.5199999999999999,-2.0200000000000005,-1.7799999999999998,2
Nick Pivetta,BOS,-0.9299999999999997,1.5300000000000002,-1.5,0.8,-6.300000000000001,2.3999999999999995,-8.600000000000001,0.11300000000000002,0.76,0.11599999999999999,-27.699999999999996,157,57,37,6.33,2.1599999999999997,4.17,1.42,1.0199999999999996,2
