Name,Team,PA,BB%,K%,BB/K,Barrel%,HardHit%,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,R,H,BB,HR,RBI,SB,qual_periods
Eduardo Escobar,NYM,3,1.5000000000000002,-6.100000000000001,0.09000000000000002,10.6,-1.1000000000000014,-0.063,-0.026999999999999996,-0.039000000000000035,-0.06599999999999995,0.023999999999999994,-3.7,-0.132,0,0,0,0,-1,-0.019000000000000017,-13,-1,-3,1,2,-4,0,2
Justin Turner,LAD,-7,1.1999999999999993,3.3000000000000007,-0.05999999999999994,10.4,13.800000000000004,0.145,0.14899999999999997,0.32699999999999996,0.4760000000000001,0.182,-3.8000000000000003,0.14,0.1,0,-0.2,9,9.2,0.184,125,0,6,0,4,3,-1,2
Julio Rodriguez,SEA,-22,-2.3,-5.600000000000001,-0.040000000000000036,9.6,25.900000000000006,0.031000000000000028,-0.008000000000000007,0.06599999999999995,0.05699999999999994,0.034999999999999976,2.4000000000000004,0.0019999999999999463,0,0,-0.4,-3,-0.5000000000000004,0.015000000000000013,11,-2,-3,-3,-1,-2,0,2
Ramon Laureano,OAK,1,1.3999999999999995,11.2,-0.08999999999999997,9.3,-8.799999999999997,0.016000000000000014,0.025000000000000022,0.19300000000000006,0.21800000000000008,0.177,1.2000000000000002,-0.014000000000000012,0,0,-0.6,5,4.5,0.08099999999999996,57,9,1,1,5,9,1,2
Bo Bichette,TOR,-3,-1.0999999999999996,-2.900000000000002,-0.020000000000000018,8.9,12,0.02100000000000002,0.01200000000000001,-0.0019999999999999463,0.010000000000000009,-0.021999999999999992,-0.7999999999999998,0.03799999999999998,0,0,-0.39999999999999997,0,0.2999999999999998,0.003999999999999948,3,-4,1,-1,-2,-2,0,2
Ha-seong Kim,SDP,-27,9.2,-4.900000000000002,0.96,8.8,29.2,0.063,0.09400000000000003,0.13700000000000007,0.2300000000000001,0.07300000000000001,-4.2,0.04299999999999998,0,0,0.19999999999999998,1,3.5999999999999996,0.09500000000000003,64,-2,-4,2,1,-2,-1,2
Carson Kelly,ARI,7,-1.0999999999999996,-2.6999999999999993,0,8.7,21.400000000000002,0.19999999999999996,0.193,0.4999999999999999,0.6940000000000001,0.29999999999999993,0.7999999999999998,0.15599999999999997,0,-0.1,0,9,7.9,0.275,186,6,8,0,3,5,0,2
Garrett Cooper,MIA,-1,3.4000000000000004,5.399999999999999,0.07,8.5,-8.799999999999997,-0.10799999999999996,-0.09300000000000003,-0.0040000000000000036,-0.09800000000000009,0.10500000000000001,0,-0.15100000000000002,0,0,0.1,-3,-2.6,-0.05399999999999999,-37,0,-7,2,1,-2,0,2
Rhys Hoskins,PHI,-14,-2.9000000000000004,8.399999999999999,-0.36000000000000004,8.4,3.6999999999999957,-0.07399999999999995,-0.08900000000000008,-0.03500000000000003,-0.123,0.04099999999999998,-1.4999999999999998,-0.08899999999999997,0,0,0,-7,-4.700000000000001,-0.056999999999999995,-39,0,-8,-4,0,-6,0,2
Juan Yepez,STL,16,1,9.399999999999999,0,8.399999999999999,9.600000000000001,-0.09200000000000003,-0.07799999999999999,0.014999999999999958,-0.06499999999999995,0.10600000000000004,0.1,-0.135,-0.10000000000000003,0,0,1,-1.3,-0.03199999999999997,-22,3,-1,1,3,2,0,2
Rougned Odor,BAL,15,-0.6999999999999993,10.200000000000003,-0.15999999999999998,8.1,3.1000000000000014,0.133,0.10800000000000004,0.17,0.2769999999999999,0.037000000000000005,-1,0.21600000000000003,0,0,0.2,5,3.8,0.11399999999999999,80,2,8,1,1,1,1,2
Brandon Drury,CIN,5,0.8999999999999995,2.599999999999998,0.010000000000000009,8,3.299999999999997,0.01100000000000001,0.017000000000000015,-0.05300000000000005,-0.03599999999999992,-0.06399999999999995,4.7,0.08100000000000002,0,0,0.2,0,-0.3000000000000007,-0.013000000000000012,-9,-2,2,1,-3,3,1,2
Michael Perez,PIT,-1,6.5,-8.999999999999998,0.5,8,-24,0.057999999999999996,0.11099999999999999,0.28600000000000003,0.396,0.227,-0.30000000000000004,-0.023999999999999994,0,0,0,4,4.2,0.16599999999999995,112,2,1,2,2,4,0,2
Randy Arozarena,TBR,0,8.5,2.900000000000002,0.29000000000000004,7.8999999999999995,12.100000000000001,-0.03699999999999998,0,0.06700000000000006,0.06700000000000006,0.10400000000000002,1.5999999999999996,-0.06999999999999995,0,0,0.7999999999999999,1,1.4,0.02400000000000002,17,2,-3,6,2,0,4,2
Bryan De La Cruz,MIA,-3,-1.7000000000000002,7.399999999999999,-0.12,7.699999999999999,16.200000000000003,0.028000000000000025,0.014000000000000012,0.07800000000000007,0.09199999999999997,0.049000000000000016,-4.1,0.087,0,0,-0.4,1,1.4999999999999998,0.03400000000000003,23,-1,1,-1,-1,-2,-2,2
Max Stassi,LAA,-19,4.099999999999998,-0.1999999999999993,0.13999999999999996,7.4,5.4999999999999964,-0.031,0.03199999999999997,0.038000000000000006,0.07000000000000006,0.069,1.9,-0.08299999999999999,0,0.09999999999999998,0.1,0,2.2,0.036000000000000004,25,5,-4,-1,1,-1,0,2
Cal Raleigh,SEA,-12,-15.9,10.399999999999999,-0.8300000000000001,6.899999999999999,-5.600000000000001,-0.065,-0.201,-0.10599999999999998,-0.30700000000000005,-0.04099999999999998,6.7,-0.066,0.1,0,0.30000000000000004,-8,-6.8999999999999995,-0.14400000000000002,-100,-2,-4,-10,-1,4,1,2
J.D. Martinez,BOS,-12,-6.9,11.7,-0.58,6.799999999999999,8.100000000000001,0.0040000000000000036,-0.04299999999999993,-0.059,-0.10299999999999998,-0.063,0.7999999999999998,0.08199999999999996,0.09999999999999998,0.09999999999999998,0,-4,-2.5999999999999996,-0.04299999999999998,-30,-1,-1,-6,-2,1,0,2
Eugenio Suarez,SEA,-19,0.6999999999999993,-5.300000000000001,0.09000000000000002,6.700000000000001,10.3,0.03,0.02300000000000002,0.11800000000000005,0.14000000000000012,0.08800000000000001,0.6,-0.014000000000000012,0.10000000000000003,0,0,1,2.5,0.04999999999999999,36,3,-2,-2,1,5,0,2
Daulton Varsho,ARI,-11,7.199999999999999,-2.200000000000003,0.32,6.5,-6.5,0.033,0.07499999999999998,0.15400000000000003,0.22899999999999987,0.12,2.2,-0.0010000000000000009,-0.10000000000000003,0,-0.09999999999999998,4,5,0.09599999999999995,64,2,-1,4,2,9,0,2
Luis Urias,MIL,-6,-5.1000000000000005,-11,-0.030000000000000027,6.5,4.799999999999997,0.086,0.04199999999999998,0.256,0.29600000000000004,0.17,-1.5,0.0069999999999999785,0,0,-0.2,4,5.5,0.10199999999999995,69,5,4,-4,3,6,-1,2
Matt Chapman,TOR,5,-0.5,1.2000000000000028,-0.03,6.5,12.100000000000001,-0.062,-0.05499999999999999,-0.14100000000000001,-0.19600000000000006,-0.08000000000000002,-2,-0.09200000000000003,0.10000000000000003,0,0,-3,-4,-0.08099999999999996,-58,-7,-3,0,0,0,0,2
Manny Machado,SDP,-8,3.1999999999999993,16.3,-0.12000000000000005,6.499999999999998,2,-0.13499999999999998,-0.09799999999999998,-0.11399999999999999,-0.21200000000000008,0.02099999999999999,-0.6000000000000001,-0.14099999999999996,0,0,0.1,-4,-3.6,-0.07799999999999996,-53,-4,-9,1,0,-9,0,2
Randal Grichuk,COL,-6,-5,-8.3,-0.2,6.199999999999999,26.099999999999998,0.021999999999999992,-0.027999999999999997,0.11699999999999999,0.08999999999999986,0.095,1.4,0.0020000000000000018,0,0,0,1,1.5000000000000002,0.028000000000000025,19,2,1,-3,0,-6,0,2
Kyle Isbel,KCR,19,0.7999999999999998,6.5,-0.01999999999999999,6.1,12.100000000000001,0.07899999999999999,0.065,0.20800000000000002,0.2739999999999999,0.129,3.4000000000000004,0.07600000000000001,-0.09999999999999998,-0.09999999999999998,0.4,4,2.3,0.10500000000000004,74,3,6,1,2,3,2,2
Kole Calhoun,TEX,3,8.100000000000001,1.8000000000000007,0.26,6,1.2999999999999972,0.018000000000000016,0.07100000000000004,0.12700000000000006,0.19799999999999995,0.10900000000000003,4.3999999999999995,0.010000000000000009,0,0,0.2,4,4,0.087,61,7,1,5,2,4,1,2
Keibert Ruiz,WSN,-10,0.7999999999999998,2.3000000000000007,0,5.9,-4.900000000000002,0.018000000000000016,0.03799999999999998,0.04500000000000004,0.08399999999999996,0.02700000000000001,3.5,0.026000000000000023,0,0,0.2,1,1.7000000000000002,0.03799999999999998,25,1,-2,0,0,1,1,2
Mike Moustakas,CIN,8,-5.8999999999999995,42.5,-0.71,5.800000000000001,25.10000000000001,-0.13599999999999998,-0.15099999999999997,-0.013000000000000012,-0.16400000000000003,0.12300000000000003,-4.9,-0.038999999999999924,0,0,-0.2,-2,-2.8,-0.07899999999999999,-54,-3,-3,-2,2,1,-1,2
Francisco Mejia,TBR,-10,2.6,14.900000000000002,0.08,5.5,4.5,0.04100000000000001,0.060000000000000026,0.08400000000000002,0.14500000000000002,0.04299999999999998,-1.1,0.09199999999999997,0.1,0,0,1,2.4,0.064,45,-1,-1,1,1,4,0,2
Josh Harrison,CHW,7,5.300000000000001,-5.399999999999999,0.32,4.9,3.6999999999999993,-0.024999999999999967,-0.01100000000000001,0.04199999999999998,0.031000000000000028,0.068,-3.9999999999999996,-0.069,0,0,0,2,0.8,0.013000000000000012,9,-2,1,3,1,-1,0,2
